Date,Time,CO_GT,PT08_S1_CO,NMHC_GT,C6H6_GT,PT08_S2_NMHC,Nox_GT,PT08_S3_Nox,NO2_GT,PT08_S4_NO2,PT08_S5_O3,T,RH,AH,CO_level
11/2/2004,20:00:00,9.2,1778,-200,48.2,1935,859,349,119,2643,1927,20.9,67.5,1.6539,Very High
12/16/2004,20:00:00,9.1,-200,-200,-200,-200,1253,-200,219,-200,-200,-200,-200,-200,Very High
12/23/2004,20:00:00,9.1,1701,-200,36.3,1692,1220,402,252,1832,2415,6.2,56.9,0.5419,Very High
11/1/2004,8:00:00,1.5,1067,-200,8.7,928,213,711,51,1564,1309,19.1,75.6,1.6519,High
11/1/2004,14:00:00,1.5,1082,-200,6.5,834,174,747,64,1562,991,23.1,70.8,1.98,High
11/2/2004,7:00:00,1.5,1014,-200,8.7,927,309,747,56,1497,951,16.1,76.3,1.3902,High
11/5/2004,2:00:00,1.5,1010,-200,7.6,884,216,719,59,1430,938,16.8,73.3,1.3915,High
11/6/2004,3:00:00,1.5,1011,-200,7,856,-200,769,-200,1341,889,15.4,72.8,1.2633,High
11/8/2004,10:00:00,1.5,850,-200,4.8,755,293,966,116,1051,714,12.1,46.5,0.653,High
11/9/2004,16:00:00,1.5,909,-200,7.5,879,-200,874,-200,1083,847,13.8,40.7,0.6405,High
11/9/2004,22:00:00,1.5,962,-200,5.3,778,-200,911,-200,1162,752,7.3,85.7,0.8818,High
11/11/2004,7:00:00,1.5,1019,-200,8.1,905,388,757,117,1244,1062,8.9,75.6,0.8667,High
11/12/2004,23:00:00,1.5,971,-200,6.1,818,205,828,107,1252,857,15.9,59.6,1.0673,High
11/13/2004,1:00:00,1.5,952,-200,4.9,758,216,876,111,1203,794,15.6,60.1,1.0557,High
11/20/2004,13:00:00,1.5,882,-200,10.4,993,302,902,141,941,862,14.7,15.5,0.2586,High
11/20/2004,15:00:00,1.5,878,-200,10.6,1000,306,880,138,942,936,14.8,15.6,0.2615,High
11/21/2004,1:00:00,1.5,1065,-200,9.7,968,428,808,196,1059,1249,4.9,53,0.4629,High
11/21/2004,12:00:00,1.5,1067,-200,10.1,981,402,755,186,1104,1383,10.9,33.8,0.4393,High
11/26/2004,3:00:00,1.5,1043,-200,5.9,805,-200,798,-200,1155,992,9.1,72.9,0.8429,High
11/29/2004,4:00:00,1.5,993,-200,4.2,720,156,891,66,1143,925,8.9,83,0.9487,High
12/3/2004,7:00:00,1.5,1094,-200,7,857,289,739,96,1378,903,13.8,85.3,1.3412,High
12/4/2004,11:00:00,1.5,1015,-200,6.5,835,260,796,94,1263,911,12.4,80.1,1.1462,High
12/5/2004,16:00:00,1.5,940,-200,3.7,692,208,934,83,1177,749,11.5,81,1.101,High
12/5/2004,20:00:00,1.5,971,-200,4.4,734,237,905,90,1187,808,12.5,71.9,1.0351,High
12/6/2004,23:00:00,1.5,1014,-200,5.8,804,236,871,79,1233,994,14.6,64.7,1.0677,High
12/8/2004,3:00:00,1.5,1051,-200,6.1,815,-200,1305,-200,1203,951,12.3,69.7,0.9954,High
12/9/2004,12:00:00,1.5,962,-200,5.4,785,286,993,103,1161,870,15.5,51.7,0.9033,High
12/10/2004,11:00:00,1.5,883,-200,6.2,821,304,886,111,967,844,16.2,26.2,0.4789,High
12/10/2004,12:00:00,1.5,884,-200,6.2,822,300,909,110,968,807,17.1,23.5,0.453,High
12/12/2004,6:00:00,1.5,975,-200,7,859,177,777,81,1043,1019,4.2,69,0.5737,High
12/13/2004,7:00:00,1.5,1041,-200,6.8,846,351,829,106,1112,1076,5.6,68.9,0.6328,High
12/19/2004,10:00:00,1.5,970,-200,6.2,819,224,923,101,959,926,5,48.8,0.429,High
12/21/2004,1:00:00,1.5,818,-200,4.3,725,246,1065,127,849,694,6.4,35.8,0.3471,High
12/21/2004,11:00:00,1.5,882,-200,6.3,826,280,952,125,910,799,7.9,36.4,0.3889,High
12/21/2004,23:00:00,1.5,927,-200,5.8,805,289,965,140,918,1007,5.8,43.4,0.4037,High
12/22/2004,0:00:00,1.5,952,-200,6.6,838,268,948,133,937,976,5.8,42.5,0.3937,High
12/27/2004,1:00:00,1.5,1024,-200,3.9,705,199,876,114,1168,807,11.5,74.2,1.0063,High
12/27/2004,13:00:00,1.5,1045,-200,5.7,800,206,796,109,1193,839,14.4,57.1,0.9309,High
1/1/2005,6:00:00,1.5,1001,-200,5.3,777,171,859,99,954,1009,3.5,58.3,0.4636,High
1/3/2005,23:00:00,1.5,-200,-200,-200,-200,268,-200,130,-200,-200,-200,-200,-200,High
1/6/2005,9:00:00,1.5,1108,-200,6.2,823,237,720,117,1247,961,11.1,70.2,0.9276,High
1/6/2005,10:00:00,1.5,1122,-200,5.8,803,211,733,115,1225,960,13.4,61,0.9348,High
1/6/2005,15:00:00,1.5,1120,-200,6.4,829,196,725,111,1259,910,16.3,51.9,0.9535,High
1/9/2005,11:00:00,1.5,1168,-200,5.7,797,251,698,111,1235,1022,14,59.7,0.9495,High
1/9/2005,22:00:00,1.5,1115,-200,5.8,804,223,734,131,1220,1136,14.3,59.2,0.9608,High
1/11/2005,1:00:00,1.5,1114,-200,4.9,757,212,744,107,1204,1070,13.2,66.8,1.0087,High
1/16/2005,21:00:00,1.5,912,-200,4.3,730,274,959,157,893,821,7.7,39,0.4106,High
1/16/2005,23:00:00,1.5,953,-200,5.2,771,248,905,145,936,895,6.6,42.6,0.4179,High
1/18/2005,7:00:00,1.5,1039,-200,6.9,855,341,783,140,1025,1210,3.4,58.5,0.4608,High
1/18/2005,21:00:00,1.5,1172,-200,6,813,339,774,152,1233,1118,10.3,74,0.9237,High
1/22/2005,2:00:00,1.5,1392,-200,15.1,1153,757,542,198,1395,1506,7.1,77.3,0.7826,High
1/22/2005,11:00:00,1.5,1439,-200,16.6,1198,628,502,246,1426,1877,11.6,59.8,0.8152,High
1/24/2005,18:00:00,1.5,1054,-200,10.4,992,302,715,180,1092,1051,7.8,39.7,0.4206,High
1/24/2005,19:00:00,1.5,1018,-200,8.9,934,259,740,169,1014,967,7.3,42.2,0.4341,High
1/27/2005,14:00:00,1.5,928,-200,4.7,748,198,900,126,900,685,7.3,36.8,0.3779,High
1/27/2005,16:00:00,1.5,905,-200,4.7,747,223,924,139,850,691,7,33.5,0.3367,High
1/27/2005,17:00:00,1.5,906,-200,5.1,769,224,913,142,865,726,6.5,32.4,0.3155,High
1/28/2005,11:00:00,1.5,990,-200,5.9,808,279,838,176,975,901,4.6,49.7,0.4271,High
1/29/2005,21:00:00,1.5,920,-200,2.9,649,196,983,140,849,598,3.1,47.4,0.3661,High
1/31/2005,1:00:00,1.5,891,-200,3,650,174,987,126,782,586,3.4,38.9,0.3076,High
2/3/2005,1:00:00,1.5,1046,-200,6,812,242,782,153,940,1265,3.9,51.6,0.4226,High
2/4/2005,12:00:00,1.5,1056,-200,7,857,309,735,169,1028,1117,15,28.5,0.4821,High
